Member_number,itemDescription,Date,Category
8927,seasonal products,01-01-2024,Meat
1835,frankfurter,01-01-2024,Other
1040,frozen potato products,01-01-2024,Other
3880,sugar,01-01-2024,Other
2263,ice cream,01-01-2024,Other
3613,meat,01-01-2024,Other
2495,fruit/vegetable juice,01-01-2024,Meat
4333,root vegetables,01-01-2024,Beverages
7725,rolls/buns,01-01-2024,Other
7405,whipped/sour cream,01-01-2024,Other
5701,soda,01-01-2024,Dairy
3580,domestic eggs,01-01-2024,Other
8076,soft cheese,01-01-2024,Other
6614,whole milk,01-01-2024,Other
6458,root vegetables,01-01-2024,Other
8535,soft cheese,01-01-2024,Other
3829,frozen vegetables,01-01-2024,Other
4547,other vegetables,01-01-2024,Other
2438,coffee,01-01-2024,Other
8430,pot plants,01-01-2024,Other
1448,oil,01-01-2024,Other
2968,frozen vegetables,01-01-2024,Other
3024,salty snack,01-01-2024,Other
2923,domestic eggs,01-01-2024,Other
3032,other vegetables,01-01-2024,Other
8358,yogurt,01-01-2024,Other
3855,frankfurter,01-01-2024,Other
2275,pip fruit,01-01-2024,Other
6460,sausage,01-01-2024,Other
1773,cake bar,01-01-2024,Other
8517,pip fruit,01-01-2024,Other
7080,rolls/buns,01-01-2024,Beverages
5800,whipped/sour cream,01-01-2024,Other
2415,citrus fruit,01-01-2024,Other
6781,other vegetables,01-01-2024,Dairy
9794,yogurt,01-01-2024,Other
6380,pork,01-01-2024,Other
3287,rolls/buns,01-01-2024,Other
8361,beef,01-01-2024,Meat
3906,dish cleaner,01-01-2024,Other
1501,pork,01-01-2024,Other
6103,bottled water,01-01-2024,Other
8066,margarine,01-01-2024,Beverages
7904,citrus fruit,01-01-2024,Other
9747,bottled water,01-01-2024,Dairy
4424,newspapers,01-01-2024,Meat
8825,bottled beer,01-01-2024,Other
9357,root vegetables,01-01-2024,Other
8099,pip fruit,01-01-2024,Beverages
1746,soda,01-01-2024,Other
6827,dish cleaner,01-01-2024,Other
6505,whipped/sour cream,01-01-2024,Other
5833,frozen meals,01-01-2024,Other
7021,butter milk,01-01-2024,Dairy
1428,shopping bags,01-01-2024,Other
3861,salty snack,01-01-2024,Other
2175,newspapers,01-01-2024,Dairy
7775,frozen meals,01-01-2024,Beverages
4313,root vegetables,01-01-2024,Other
1494,cat food,01-01-2024,Other
6784,bottled water,01-01-2024,Other
3091,root vegetables,01-01-2024,Other
6863,frozen dessert,01-01-2024,Beverages
1091,pork,01-01-2024,Other
1835,pastry,01-01-2024,Other
1111,pip fruit,01-01-2024,Other
6185,shopping bags,01-01-2024,Other
1309,whole milk,01-01-2024,Other
7636,soda,01-01-2024,Beverages
2397,other vegetables,01-01-2024,Other
3033,whipped/sour cream,01-01-2024,Other
6581,other vegetables,01-01-2024,Other
9405,sausage,01-01-2024,Other
3927,citrus fruit,01-01-2024,Other
4493,citrus fruit,01-01-2024,Other
3379,salty snack,01-01-2024,Dairy
8213,dessert,01-01-2024,Other
4500,whole milk,01-01-2024,Other
1428,sausage,01-01-2024,Dairy
3115,shopping bags,01-01-2024,Other
3907,liquor,01-01-2024,Other
6614,pork,01-01-2024,Other
9783,yogurt,01-01-2024,Other
7676,other vegetables,01-01-2024,Other
5287,soda,01-01-2024,Dairy
3451,bottled beer,01-01-2024,Other
5322,margarine,01-01-2024,Other
7045,domestic eggs,01-01-2024,Other
9404,grapes,01-01-2024,Dairy
8426,brandy,01-01-2024,Other
3343,soda,01-01-2024,Other
2263,onions,01-01-2024,Other
9734,whole milk,01-01-2024,Other
5250,semi-finished bread,01-01-2024,Other
3880,bottled water,01-01-2024,Other
4394,shopping bags,01-01-2024,Other
7035,chocolate marshmallow,01-01-2024,Other
5379,soda,01-01-2024,Other
8245,berries,01-01-2024,Meat
6184,margarine,01-01-2024,Other
7626,bottled water,01-01-2024,Beverages
6196,canned beer,01-01-2024,Dairy
9025,berries,01-01-2024,Other
7510,root vegetables,01-01-2024,Other
7083,whole milk,01-01-2024,Other
2419,white wine,01-01-2024,Other
9217,specialty chocolate,01-01-2024,Beverages
2037,butter milk,01-01-2024,Other
9615,bottled beer,01-01-2024,Dairy
9079,rice,01-01-2024,Other
2303,sugar,01-01-2024,Beverages
2817,canned beer,01-01-2024,Other
5006,frozen meals,01-01-2024,Dairy
6219,processed cheese,01-01-2024,Other
5322,shopping bags,01-01-2024,Other
1645,pip fruit,01-01-2024,Other
3842,beverages,01-01-2024,Dairy
1773,onions,01-01-2024,Meat
2174,specialty chocolate,01-01-2024,Other
7277,shopping bags,01-01-2024,Other
4847,whole milk,01-01-2024,Other
5859,specialty bar,01-01-2024,Other
5669,pastry,01-01-2024,Other
4281,herbs,01-01-2024,Other
2069,whole milk,01-01-2024,Other
2505,oil,01-01-2024,Other
5673,spread cheese,01-01-2024,Other
9402,pip fruit,01-01-2024,Other
6592,brown bread,01-01-2024,Meat
6381,pip fruit,01-01-2024,Other
9939,frankfurter,01-01-2024,Other
7695,yogurt,01-01-2024,Other
2438,other vegetables,01-01-2024,Other
4027,sugar,01-01-2024,Meat
9974,rolls/buns,01-01-2024,Canned Goods
8517,cat food,01-01-2024,Other
8881,mayonnaise,01-01-2024,Other
3320,pasta,01-01-2024,Other
9310,bags,01-01-2024,Other
8477,bottled water,01-01-2024,Beverages
4086,root vegetables,01-01-2024,Other
8899,margarine,01-01-2024,Dairy
1130,frankfurter,01-01-2024,Other
5667,whole milk,01-01-2024,Other
7933,tropical fruit,01-01-2024,Other
5293,newspapers,01-01-2024,Other
1896,salty snack,01-01-2024,Other
6453,pork,01-01-2024,Other
7813,beverages,01-01-2024,Dairy
6920,canned beer,01-01-2024,Dairy
6800,other vegetables,01-01-2024,Other
1815,candy,01-01-2024,Other
2435,meat,01-01-2024,Other
8803,bottled water,01-01-2024,Dairy
4216,bottled beer,01-01-2024,Other
6196,sliced cheese,01-01-2024,Other
3681,pork,01-01-2024,Meat
8191,beef,01-01-2024,Other
1841,frozen potato products,01-01-2024,Other
9402,soap,01-01-2024,Other
7977,whole milk,01-01-2024,Other
5789,soda,01-01-2024,Dairy
9878,soda,01-01-2024,Beverages
8379,frankfurter,01-01-2024,Other
6592,domestic eggs,01-01-2024,Other
8559,pork,01-01-2024,Other
3208,dessert,01-01-2024,Dairy
4056,soda,01-01-2024,Beverages
2510,bottled beer,01-01-2024,Other
2477,margarine,01-01-2024,Dairy
1501,root vegetables,01-01-2024,Other
1939,soda,01-01-2024,Other
5645,tropical fruit,01-01-2024,Other
7277,soda,01-01-2024,Beverages
6097,root vegetables,01-01-2024,Other
1448,pastry,01-01-2024,Other
7135,sweet spreads,01-01-2024,Other
4392,dishes,01-01-2024,Other
5800,soda,01-01-2024,Other
2601,other vegetables,01-01-2024,Other
6773,root vegetables,01-01-2024,Other
8235,whole milk,01-01-2024,Dairy
1777,sugar,01-01-2024,Other
1873,whole milk,01-01-2024,Other
9624,sausage,01-01-2024,Other
8287,soda,01-01-2024,Other
5654,beef,01-01-2024,Meat
2275,coffee,01-01-2024,Other
6203,ham,01-01-2024,Other
3891,bottled beer,01-01-2024,Other
7813,soups,01-01-2024,Other
6781,canned beer,01-01-2024,Other
6046,whole milk,01-01-2024,Other
9310,sugar,01-01-2024,Other
5767,pastry,01-01-2024,Other
9216,citrus fruit,01-01-2024,Other
6630,pip fruit,01-01-2024,Other
6313,chocolate,01-01-2024,Other
8503,yogurt,01-01-2024,Other
1773,sausage,01-01-2024,Other
6329,bottled beer,01-01-2024,Other
1004,newspapers,01-01-2024,Other
5963,other vegetables,01-01-2024,Other
1321,whipped/sour cream,01-01-2024,Other
3046,sausage,01-01-2024,Other
3368,bottled water,01-01-2024,Other
8881,tidbits,01-01-2024,Other
1607,hygiene articles,01-01-2024,Other
5293,syrup,01-01-2024,Dairy
7299,beef,01-01-2024,Other
6329,onions,01-01-2024,Other
7299,root vegetables,01-01-2024,Other
9319,chewing gum,01-01-2024,Dairy
2677,misc. beverages,01-01-2024,Other
6767,chicken,01-01-2024,Other
9956,newspapers,01-01-2024,Other
3378,other vegetables,01-01-2024,Beverages
5450,root vegetables,01-01-2024,Meat
8333,pip fruit,01-01-2024,Other
5177,coffee,01-01-2024,Other
8322,other vegetables,01-01-2024,Meat
9416,dessert,01-01-2024,Dairy
1746,frankfurter,01-01-2024,Beverages
9169,curd,01-01-2024,Other
6716,root vegetables,01-01-2024,Other
4168,oil,01-01-2024,Other
9624,pastry,01-01-2024,Meat
1451,red/blush wine,01-01-2024,Beverages
2782,flour,01-01-2024,Other
3482,rolls/buns,01-01-2024,Other
4126,nuts/prunes,01-01-2024,Dairy
2291,hygiene articles,01-01-2024,Other
5310,whole milk,01-01-2024,Other
3006,frozen vegetables,01-01-2024,Other
4394,processed cheese,01-01-2024,Beverages
7104,detergent,01-01-2024,Other
3194,canned fish,01-01-2024,Other
6185,dishes,01-01-2024,Beverages
4424,curd,01-01-2024,Dairy
7687,whole milk,01-01-2024,Other
9404,chewing gum,01-01-2024,Other
3613,whole milk,01-01-2024,Dairy
8899,bottled beer,01-01-2024,Other
6641,brown bread,01-01-2024,Other
1319,long life bakery product,01-01-2024,Other
2763,beef,01-01-2024,Other
1623,whipped/sour cream,01-01-2024,Other
2497,domestic eggs,01-01-2024,Beverages
4839,brown bread,01-01-2024,Other
7962,yogurt,01-01-2024,Other
1618,dish cleaner,01-01-2024,Other
7982,other vegetables,01-01-2024,Other
9878,waffles,01-01-2024,Other
7083,ketchup,01-01-2024,Other
7433,soda,01-01-2024,Dairy
2536,chewing gum,01-01-2024,Other
7706,canned beer,01-01-2024,Other
5789,dog food,01-01-2024,Beverages
2038,waffles,01-01-2024,Other
1765,rolls/buns,01-01-2024,Other
2298,other vegetables,01-01-2024,Other
8998,UHT-milk,01-01-2024,Beverages
8884,canned beer,01-01-2024,Other
3536,beef,01-01-2024,Dairy
1504,brown bread,01-01-2024,Dairy
1960,potato products,01-01-2024,Other
4477,UHT-milk,01-01-2024,Dairy
4249,sliced cheese,01-01-2024,Other
6322,kitchen towels,01-01-2024,Other
2115,bottled water,01-01-2024,Beverages
1596,sliced cheese,01-01-2024,Other
5692,citrus fruit,01-01-2024,Other
7695,yogurt,01-01-2024,Meat
9615,whipped/sour cream,01-01-2024,Other
6784,bottled beer,01-01-2024,Dairy
5859,whole milk,01-01-2024,Beverages
3343,white bread,01-01-2024,Meat
2005,whole milk,01-01-2024,Other
2430,whole milk,01-01-2024,Other
1919,tropical fruit,01-01-2024,Other
2817,yogurt,01-01-2024,Other
9079,yogurt,01-01-2024,Other
1780,oil,01-01-2024,Other
9956,rolls/buns,01-01-2024,Other
1719,popcorn,01-01-2024,Other
9992,yogurt,01-01-2024,Other
6339,salty snack,01-01-2024,Other
6538,yogurt,01-01-2024,Other
2630,rolls/buns,01-01-2024,Other
1424,chocolate,01-01-2024,Beverages
2463,butter,01-01-2024,Beverages
5577,pip fruit,01-01-2024,Other
2298,chicken,01-01-2024,Other
6784,canned beer,01-01-2024,Other
1613,soda,01-01-2024,Other
5433,tropical fruit,01-01-2024,Other
5198,chicken,01-01-2024,Beverages
3293,finished products,01-01-2024,Dairy
5598,whole milk,01-01-2024,Other
9086,specialty bar,01-01-2024,Other
1255,white bread,01-01-2024,Dairy
1765,sugar,01-01-2024,Other
7081,sausage,01-01-2024,Dairy
9794,bottled water,01-01-2024,Beverages
5859,shopping bags,01-01-2024,Other
6323,whole milk,01-01-2024,Meat
2682,herbs,01-01-2024,Other
5931,white wine,01-01-2024,Other
4105,newspapers,01-01-2024,Other
9719,skin care,01-01-2024,Other
9556,coffee,01-01-2024,Other
8705,margarine,01-01-2024,Other
6918,white wine,01-01-2024,Other
1243,whole milk,01-01-2024,Other
5767,chocolate,01-01-2024,Beverages
5712,citrus fruit,01-01-2024,Other
3006,frozen vegetables,01-01-2024,Other
6207,berries,01-01-2024,Other
5193,cat food,01-01-2024,Other
1074,berries,01-01-2024,Other
2474,frozen vegetables,01-01-2024,Other
4782,shopping bags,01-01-2024,Other
8386,ice cream,01-01-2024,Meat
9939,pickled vegetables,01-01-2024,Other
6108,root vegetables,01-01-2024,Other
2782,sausage,01-01-2024,Other
8582,hard cheese,01-01-2024,Beverages
6275,bottled water,01-01-2024,Other
3046,newspapers,01-01-2024,Other
9729,specialty chocolate,01-01-2024,Other
4952,pip fruit,01-01-2024,Other
4117,waffles,01-01-2024,Dairy
7943,soda,01-01-2024,Other
2247,sausage,01-01-2024,Meat
3345,frozen meals,01-01-2024,Other
1865,waffles,01-01-2024,Other
2175,meat,01-01-2024,Beverages
3716,tidbits,01-01-2024,Beverages
6176,white wine,01-01-2024,Other
3626,dishes,01-01-2024,Other
3927,waffles,01-01-2024,Other
9729,curd,01-01-2024,Dairy
3351,chocolate,01-01-2024,Dairy
9416,soda,01-01-2024,Other
5355,soda,01-01-2024,Beverages
1368,waffles,01-01-2024,Dairy
8637,soda,01-01-2024,Dairy
7904,whole milk,01-01-2024,Other
7932,fruit/vegetable juice,01-01-2024,Other
8146,liver loaf,01-01-2024,Other
3648,rolls/buns,01-01-2024,Other
9217,soda,01-01-2024,Beverages
5628,shopping bags,01-01-2024,Other
1500,canned beer,01-01-2024,Other
6329,pastry,01-01-2024,Other
3004,other vegetables,01-01-2024,Other
3892,whole milk,01-01-2024,Other
4847,other vegetables,01-01-2024,Other
5251,yogurt,01-01-2024,Other
8705,frankfurter,01-01-2024,Other
4072,bottled beer,01-01-2024,Other
6378,whipped/sour cream,01-01-2024,Beverages
7458,candles,01-01-2024,Other
2601,beef,01-01-2024,Meat
4105,chicken,01-01-2024,Other
9022,sausage,01-01-2024,Dairy
7249,shopping bags,01-01-2024,Dairy
2849,whole milk,01-01-2024,Dairy
9181,bottled water,01-01-2024,Other
6170,frozen vegetables,01-01-2024,Other
9801,pastry,01-01-2024,Dairy
6801,dish cleaner,01-01-2024,Other
1008,frankfurter,01-01-2024,Meat
5421,canned vegetables,01-01-2024,Meat
5789,pip fruit,01-01-2024,Other
9303,salty snack,01-01-2024,Other
2495,whole milk,01-01-2024,Meat
9338,specialty bar,01-01-2024,Other
8160,whole milk,01-01-2024,Other
1243,liquor,01-01-2024,Other
5241,butter,01-01-2024,Meat
4500,tropical fruit,01-01-2024,Meat
1232,pip fruit,01-01-2024,Dairy
7249,shopping bags,01-01-2024,Other
8076,whole milk,01-01-2024,Other
7409,house keeping products,01-01-2024,Beverages
6219,fruit/vegetable juice,01-01-2024,Other
6700,canned beer,01-01-2024,Other
9895,long life bakery product,01-01-2024,Other
8260,domestic eggs,01-01-2024,Other
8057,tropical fruit,01-01-2024,Dairy
4962,misc. beverages,01-01-2024,Dairy
8124,whole milk,01-01-2024,Other
8709,rolls/buns,01-01-2024,Other
9895,bottled beer,01-01-2024,Other
5276,yogurt,01-01-2024,Beverages
6921,rolls/buns,01-01-2024,Meat
4487,root vegetables,01-01-2024,Dairy
1122,margarine,01-01-2024,Other
3064,other vegetables,01-01-2024,Other
8430,domestic eggs,01-01-2024,Other
9391,whole milk,01-01-2024,Other
7226,bottled beer,01-01-2024,Other
5236,processed cheese,01-01-2024,Other
5986,domestic eggs,01-01-2024,Other
3378,yogurt,01-01-2024,Other
9974,hygiene articles,01-01-2024,Other
4962,other vegetables,01-01-2024,Other
1735,butter milk,01-01-2024,Other
1596,berries,01-01-2024,Other
3451,candy,01-01-2024,Other
5419,beef,01-01-2024,Other
5355,pork,01-01-2024,Canned Goods
2368,other vegetables,01-01-2024,Other
8379,tropical fruit,01-01-2024,Other
7888,rolls/buns,01-01-2024,Dairy
3681,bottled beer,01-01-2024,Other
2895,flower (seeds),01-01-2024,Beverages
6853,dog food,01-01-2024,Other
5062,citrus fruit,01-01-2024,Other
6809,sausage,01-01-2024,Other
8218,oil,01-01-2024,Other
5810,frozen vegetables,01-01-2024,Beverages
1092,tropical fruit,01-01-2024,Other
7642,berries,01-01-2024,Other
7991,fruit/vegetable juice,01-01-2024,Other
5177,bottled water,01-01-2024,Other
7538,napkins,01-01-2024,Other
2735,butter,01-01-2024,Meat
7680,berries,01-01-2024,Other
1768,cream cheese ,01-01-2024,Other
2541,newspapers,01-01-2024,Other
3968,other vegetables,01-01-2024,Other
8551,other vegetables,01-01-2024,Beverages
3373,whole milk,01-01-2024,Beverages
3368,chewing gum,01-01-2024,Beverages
9955,organic sausage,01-01-2024,Other
7953,canned beer,01-01-2024,Dairy
1612,dish cleaner,01-01-2024,Snacks
3906,herbs,01-01-2024,Beverages
3368,yogurt,01-01-2024,Other
1835,other vegetables,01-01-2024,Dairy
3004,citrus fruit,01-01-2024,Other
6853,soda,01-01-2024,Beverages
5386,organic products,01-01-2024,Other
6817,other vegetables,01-01-2024,Dairy
7083,oil,01-01-2024,Other
1756,margarine,01-01-2024,Other
3821,whole milk,01-01-2024,Other
3308,citrus fruit,01-01-2024,Other
1477,hard cheese,01-01-2024,Other
5764,bottled beer,01-01-2024,Beverages
7273,soda,01-01-2024,Beverages
7856,bottled water,01-01-2024,Other
1213,rolls/buns,01-01-2024,Other
1177,waffles,01-01-2024,Other
6853,hard cheese,01-01-2024,Beverages
1259,bottled water,01-01-2024,Dairy
3811,cling film/bags,01-01-2024,Dairy
3927,canned fish,01-01-2024,Other
4805,pork,01-01-2024,Other
2115,sausage,01-01-2024,Dairy
1309,tropical fruit,01-01-2024,Other
1767,pastry,01-01-2024,Other
6873,berries,01-01-2024,Other
4350,pork,01-01-2024,Other
6641,soda,01-01-2024,Other
5800,frozen vegetables,01-01-2024,Other
1444,spread cheese,01-01-2024,Other
6920,condensed milk,01-01-2024,Other
2983,candy,01-01-2024,Other
3064,whole milk,01-01-2024,Other
1769,bottled beer,01-01-2024,Dairy
3015,hygiene articles,01-01-2024,Dairy
3969,snack products,01-01-2024,Other
9182,yogurt,01-01-2024,Other
4544,frankfurter,01-01-2024,Dairy
3045,whole milk,01-01-2024,Other
6991,rolls/buns,01-01-2024,Other
9303,hard cheese,01-01-2024,Other
2749,sausage,01-01-2024,Other
1977,ice cream,01-01-2024,Other
8929,root vegetables,01-01-2024,Other
6458,salt,01-01-2024,Other
9260,coffee,01-01-2024,Other
6767,tropical fruit,01-01-2024,Other
8361,tea,01-01-2024,Other
6481,newspapers,01-01-2024,Other
1504,cake bar,01-01-2024,Other
6780,butter,01-01-2024,Dairy
2782,sausage,01-01-2024,Other
1707,sausage,01-01-2024,Other
5685,margarine,01-01-2024,Other
9111,rolls/buns,01-01-2024,Other
2897,Instant food products,01-01-2024,Other
2247,hamburger meat,01-01-2024,Dairy
6321,citrus fruit,01-01-2024,Other
5712,cream cheese ,01-01-2024,Other
3293,frankfurter,01-01-2024,Beverages
9491,whole milk,01-01-2024,Other
4941,cereals,01-01-2024,Other
9432,berries,01-01-2024,Other
3208,white wine,01-01-2024,Other
4955,candy,01-01-2024,Other
6219,coffee,01-01-2024,Beverages
3320,salt,01-01-2024,Canned Goods
2435,pastry,01-01-2024,Other
6773,rolls/buns,01-01-2024,Other
8146,ice cream,01-01-2024,Other
5322,citrus fruit,01-01-2024,Other
3861,hygiene articles,01-01-2024,Meat
3889,candy,01-01-2024,Snacks
9332,canned fish,01-01-2024,Other
4579,bottled beer,01-01-2024,Other
9575,ham,01-01-2024,Other
2601,decalcifier,01-01-2024,Other
8515,coffee,01-01-2024,Other
5205,white wine,01-01-2024,Other
3178,sausage,01-01-2024,Snacks
6850,domestic eggs,01-01-2024,Other
1865,bottled water,01-01-2024,Other
8218,whole milk,01-01-2024,Beverages
9485,soda,01-01-2024,Beverages
9404,shopping bags,01-01-2024,Other
2174,white wine,01-01-2024,Dairy
6767,semi-finished bread,01-01-2024,Other
2175,chicken,01-01-2024,Other
1122,processed cheese,01-01-2024,Other
5251,sausage,01-01-2024,Other
8430,bottled beer,01-01-2024,Beverages
4863,pasta,01-01-2024,Other
4085,rolls/buns,01-01-2024,Beverages
1321,specialty bar,01-01-2024,Other
1768,other vegetables,01-01-2024,Other
5833,yogurt,01-01-2024,Dairy
6784,yogurt,01-01-2024,Other
3648,UHT-milk,01-01-2024,Other
9956,cat food,01-01-2024,Other
1735,red/blush wine,01-01-2024,Other
6817,chicken,01-01-2024,Other
8109,yogurt,01-01-2024,Dairy
7890,rolls/buns,01-01-2024,Other
6000,other vegetables,01-01-2024,Other
2735,brown bread,01-01-2024,Other
4869,waffles,01-01-2024,Other
8213,other vegetables,01-01-2024,Other
4293,yogurt,01-01-2024,Other
4974,hamburger meat,01-01-2024,Meat
8899,bottled beer,01-01-2024,Dairy
3006,brown bread,01-01-2024,Other
3892,napkins,01-01-2024,Other
2785,sparkling wine,01-01-2024,Dairy
6159,candy,01-01-2024,Other
9624,yogurt,01-01-2024,Other
1259,cake bar,01-01-2024,Other
9193,tropical fruit,01-01-2024,Other
1100,misc. beverages,01-01-2024,Beverages
8599,abrasive cleaner,01-01-2024,Other
5221,citrus fruit,01-01-2024,Other
7209,other vegetables,01-01-2024,Other
5843,shopping bags,01-01-2024,Other
4705,other vegetables,01-01-2024,Other
4547,mustard,01-01-2024,Beverages
1939,specialty cheese,01-01-2024,Other
1468,whole milk,01-01-2024,Other
3834,whole milk,01-01-2024,Other
9402,whole milk,01-01-2024,Other
6801,bottled beer,01-01-2024,Beverages
4476,root vegetables,01-01-2024,Other
9375,bottled water,01-01-2024,Other
2127,specialty chocolate,01-01-2024,Meat
1882,cling film/bags,01-01-2024,Dairy
3462,pip fruit,01-01-2024,Meat
7554,butter,01-01-2024,Beverages
4126,other vegetables,01-01-2024,Other
3968,dish cleaner,01-01-2024,Dairy
9463,baking powder,01-01-2024,Other
4863,berries,01-01-2024,Other
5014,frozen fish,01-01-2024,Other
3262,bottled water,01-01-2024,Other
4085,domestic eggs,01-01-2024,Other
3637,whole milk,01-01-2024,Other
8988,bottled beer,01-01-2024,Dairy
8763,whole milk,01-01-2024,Other
5752,frozen meals,01-01-2024,Other
2497,tropical fruit,01-01-2024,Other
5636,other vegetables,01-01-2024,Other
9136,yogurt,01-01-2024,Other
5868,coffee,01-01-2024,Beverages
6730,whole milk,01-01-2024,Other
3315,sausage,01-01-2024,Other
4955,white bread,01-01-2024,Other
6378,berries,01-01-2024,Meat
2316,bottled water,01-01-2024,Canned Goods
8763,soda,01-01-2024,Other
4392,onions,01-01-2024,Other
7299,nut snack,01-01-2024,Other
1893,curd cheese,01-01-2024,Other
4126,salty snack,01-01-2024,Dairy
5198,sweet spreads,01-01-2024,Other
5062,pork,01-01-2024,Other
6784,dessert,01-01-2024,Other
4931,bottled beer,01-01-2024,Other
8893,bottled beer,01-01-2024,Beverages
3077,sugar,01-01-2024,Meat
4531,salty snack,01-01-2024,Other
7078,whole milk,01-01-2024,Beverages
1364,yogurt,01-01-2024,Dairy
2763,shopping bags,01-01-2024,Beverages
2303,brown bread,01-01-2024,Other
7700,frankfurter,01-01-2024,Other
8046,potato products,01-01-2024,Other
9319,pip fruit,01-01-2024,Meat
3379,female sanitary products,01-01-2024,Other
1719,white wine,01-01-2024,Other
7104,bottled beer,01-01-2024,Other
7249,soda,01-01-2024,Beverages
1424,butter,01-01-2024,Dairy
5764,candy,01-01-2024,Other
5691,sugar,01-01-2024,Other
2419,whole milk,01-01-2024,Other
4965,UHT-milk,01-01-2024,Other
7061,coffee,01-01-2024,Beverages
8361,herbs,01-01-2024,Other
3522,pastry,01-01-2024,Other
6010,canned vegetables,01-01-2024,Dairy
1665,flour,01-01-2024,Other
3451,misc. beverages,01-01-2024,Other
2682,newspapers,01-01-2024,Other
3756,rolls/buns,01-01-2024,Beverages
9828,pip fruit,01-01-2024,Other
6538,berries,01-01-2024,Other
7061,soda,01-01-2024,Other
6853,soft cheese,01-01-2024,Meat
1632,chocolate,01-01-2024,Other
8637,yogurt,01-01-2024,Other
6780,root vegetables,01-01-2024,Other
5764,domestic eggs,01-01-2024,Other
6857,frozen meals,01-01-2024,Other
7040,yogurt,01-01-2024,Other
8901,pastry,01-01-2024,Other
1008,whole milk,01-01-2024,Beverages
6000,curd,01-01-2024,Other
9035,rolls/buns,01-01-2024,Other
3217,male cosmetics,01-01-2024,Beverages
1639,chicken,01-01-2024,Other
8146,pork,01-01-2024,Meat
3808,hygiene articles,01-01-2024,Other
9111,long life bakery product,01-01-2024,Dairy
7943,other vegetables,01-01-2024,Meat
4705,whole milk,01-01-2024,Meat
1008,bottled beer,01-01-2024,Other
9358,whole milk,01-01-2024,Other
5355,whole milk,01-01-2024,Other
9974,pickled vegetables,01-01-2024,Dairy
8139,rolls/buns,01-01-2024,Other
8705,soft cheese,01-01-2024,Other
5626,roll products ,01-01-2024,Dairy
6857,bottled beer,01-01-2024,Other
6196,root vegetables,01-01-2024,Other
7458,hamburger meat,01-01-2024,Other
2215,whole milk,01-01-2024,Beverages
4477,bottled beer,01-01-2024,Other
6260,herbs,01-01-2024,Dairy
5289,rolls/buns,01-01-2024,Other
4425,ice cream,01-01-2024,Other
3394,bottled beer,01-01-2024,Beverages
7291,fruit/vegetable juice,01-01-2024,Beverages
9491,seasonal products,01-01-2024,Other
